Statistic Label,Month,Domestic or Import Source,UNIT,VALUE
Intake of Cows Milk by Creameries and Pasteurisers,1988 December,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1989 January,Domestic,Million Litres,137.8
Intake of Cows Milk by Creameries and Pasteurisers,1989 January,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1989 February,Domestic,Million Litres,218.6
Intake of Cows Milk by Creameries and Pasteurisers,1989 February,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1989 March,Domestic,Million Litres,364.1
Intake of Cows Milk by Creameries and Pasteurisers,1989 March,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1989 April,Domestic,Million Litres,538.4
Intake of Cows Milk by Creameries and Pasteurisers,1989 April,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1989 May,Domestic,Million Litres,725.4
Intake of Cows Milk by Creameries and Pasteurisers,1989 May,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1989 June,Domestic,Million Litres,713.9
Intake of Cows Milk by Creameries and Pasteurisers,1989 June,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1989 July,Domestic,Million Litres,637.8
Intake of Cows Milk by Creameries and Pasteurisers,1989 July,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1989 August,Domestic,Million Litres,570.3
Intake of Cows Milk by Creameries and Pasteurisers,1989 August,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1989 September,Domestic,Million Litres,503.6
Intake of Cows Milk by Creameries and Pasteurisers,1989 September,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1989 October,Domestic,Million Litres,364.7
Intake of Cows Milk by Creameries and Pasteurisers,1989 October,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1989 November,Domestic,Million Litres,190.2
Intake of Cows Milk by Creameries and Pasteurisers,1989 November,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1989 December,Domestic,Million Litres,132.1
Intake of Cows Milk by Creameries and Pasteurisers,1989 December,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1990 January,Domestic,Million Litres,145.4
Intake of Cows Milk by Creameries and Pasteurisers,1990 January,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1990 February,Domestic,Million Litres,217.1
Intake of Cows Milk by Creameries and Pasteurisers,1990 February,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1990 March,Domestic,Million Litres,394.2
Intake of Cows Milk by Creameries and Pasteurisers,1990 March,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1990 April,Domestic,Million Litres,593.2
Intake of Cows Milk by Creameries and Pasteurisers,1990 April,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1990 May,Domestic,Million Litres,741.3
Intake of Cows Milk by Creameries and Pasteurisers,1990 May,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1990 June,Domestic,Million Litres,706.2
Intake of Cows Milk by Creameries and Pasteurisers,1990 June,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1990 July,Domestic,Million Litres,650
Intake of Cows Milk by Creameries and Pasteurisers,1990 July,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1990 August,Domestic,Million Litres,573.6
Intake of Cows Milk by Creameries and Pasteurisers,1990 August,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1990 September,Domestic,Million Litres,465.1
Intake of Cows Milk by Creameries and Pasteurisers,1990 September,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1990 October,Domestic,Million Litres,322.6
Intake of Cows Milk by Creameries and Pasteurisers,1990 October,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1990 November,Domestic,Million Litres,178.7
Intake of Cows Milk by Creameries and Pasteurisers,1990 November,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1990 December,Domestic,Million Litres,129.8
Intake of Cows Milk by Creameries and Pasteurisers,1990 December,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1991 January,Domestic,Million Litres,144.3
Intake of Cows Milk by Creameries and Pasteurisers,1991 January,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1991 February,Domestic,Million Litres,227.5
Intake of Cows Milk by Creameries and Pasteurisers,1991 February,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1991 March,Domestic,Million Litres,407.5
Intake of Cows Milk by Creameries and Pasteurisers,1991 March,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1991 April,Domestic,Million Litres,564.1
Intake of Cows Milk by Creameries and Pasteurisers,1991 April,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1991 May,Domestic,Million Litres,718.4
Intake of Cows Milk by Creameries and Pasteurisers,1991 May,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1991 June,Domestic,Million Litres,705.6
Intake of Cows Milk by Creameries and Pasteurisers,1991 June,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1991 July,Domestic,Million Litres,652
Intake of Cows Milk by Creameries and Pasteurisers,1991 July,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1991 August,Domestic,Million Litres,567.8
Intake of Cows Milk by Creameries and Pasteurisers,1991 August,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1991 September,Domestic,Million Litres,456.1
Intake of Cows Milk by Creameries and Pasteurisers,1991 September,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1991 October,Domestic,Million Litres,312.1
Intake of Cows Milk by Creameries and Pasteurisers,1991 October,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1991 November,Domestic,Million Litres,173.2
Intake of Cows Milk by Creameries and Pasteurisers,1991 November,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1991 December,Domestic,Million Litres,132.8
Intake of Cows Milk by Creameries and Pasteurisers,1991 December,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1992 January,Domestic,Million Litres,149.4
Intake of Cows Milk by Creameries and Pasteurisers,1992 January,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1992 February,Domestic,Million Litres,233.6
Intake of Cows Milk by Creameries and Pasteurisers,1992 February,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1992 March,Domestic,Million Litres,399.2
Intake of Cows Milk by Creameries and Pasteurisers,1992 March,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1992 April,Domestic,Million Litres,573.3
Intake of Cows Milk by Creameries and Pasteurisers,1992 April,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1992 May,Domestic,Million Litres,697.4
Intake of Cows Milk by Creameries and Pasteurisers,1992 May,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1992 June,Domestic,Million Litres,674.9
Intake of Cows Milk by Creameries and Pasteurisers,1992 June,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1992 July,Domestic,Million Litres,615.6
Intake of Cows Milk by Creameries and Pasteurisers,1992 July,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1992 August,Domestic,Million Litres,570.5
Intake of Cows Milk by Creameries and Pasteurisers,1992 August,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1992 September,Domestic,Million Litres,469.4
Intake of Cows Milk by Creameries and Pasteurisers,1992 September,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1992 October,Domestic,Million Litres,363.7
Intake of Cows Milk by Creameries and Pasteurisers,1992 October,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1992 November,Domestic,Million Litres,210
Intake of Cows Milk by Creameries and Pasteurisers,1992 November,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1992 December,Domestic,Million Litres,148
Intake of Cows Milk by Creameries and Pasteurisers,1992 December,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1993 January,Domestic,Million Litres,146.1
Intake of Cows Milk by Creameries and Pasteurisers,1993 January,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1993 February,Domestic,Million Litres,218
Intake of Cows Milk by Creameries and Pasteurisers,1993 February,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1993 March,Domestic,Million Litres,400.2
Intake of Cows Milk by Creameries and Pasteurisers,1993 March,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1993 April,Domestic,Million Litres,560.3
Intake of Cows Milk by Creameries and Pasteurisers,1993 April,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1993 May,Domestic,Million Litres,687
Intake of Cows Milk by Creameries and Pasteurisers,1993 May,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1993 June,Domestic,Million Litres,656.2
Intake of Cows Milk by Creameries and Pasteurisers,1993 June,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1993 July,Domestic,Million Litres,624.3
Intake of Cows Milk by Creameries and Pasteurisers,1993 July,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1993 August,Domestic,Million Litres,570.6
Intake of Cows Milk by Creameries and Pasteurisers,1993 August,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1993 September,Domestic,Million Litres,474.4
Intake of Cows Milk by Creameries and Pasteurisers,1993 September,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1993 October,Domestic,Million Litres,350.4
Intake of Cows Milk by Creameries and Pasteurisers,1993 October,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1993 November,Domestic,Million Litres,217.2
Intake of Cows Milk by Creameries and Pasteurisers,1993 November,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1993 December,Domestic,Million Litres,147.1
Intake of Cows Milk by Creameries and Pasteurisers,1993 December,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1994 January,Domestic,Million Litres,152
Intake of Cows Milk by Creameries and Pasteurisers,1994 January,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1994 February,Domestic,Million Litres,217.1
Intake of Cows Milk by Creameries and Pasteurisers,1994 February,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1994 March,Domestic,Million Litres,399.1
Intake of Cows Milk by Creameries and Pasteurisers,1994 March,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1994 April,Domestic,Million Litres,510
Intake of Cows Milk by Creameries and Pasteurisers,1994 April,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1994 May,Domestic,Million Litres,676.8
Intake of Cows Milk by Creameries and Pasteurisers,1994 May,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1994 June,Domestic,Million Litres,683.1
Intake of Cows Milk by Creameries and Pasteurisers,1994 June,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1994 July,Domestic,Million Litres,633.6
Intake of Cows Milk by Creameries and Pasteurisers,1994 July,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1994 August,Domestic,Million Litres,568.7
Intake of Cows Milk by Creameries and Pasteurisers,1994 August,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1994 September,Domestic,Million Litres,479.1
Intake of Cows Milk by Creameries and Pasteurisers,1994 September,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1994 October,Domestic,Million Litres,387.7
Intake of Cows Milk by Creameries and Pasteurisers,1994 October,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1994 November,Domestic,Million Litres,241.3
Intake of Cows Milk by Creameries and Pasteurisers,1994 November,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1994 December,Domestic,Million Litres,171
Intake of Cows Milk by Creameries and Pasteurisers,1994 December,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1995 January,Domestic,Million Litres,153.1
Intake of Cows Milk by Creameries and Pasteurisers,1995 January,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1995 February,Domestic,Million Litres,211.1
Intake of Cows Milk by Creameries and Pasteurisers,1995 February,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1995 March,Domestic,Million Litres,368.7
Intake of Cows Milk by Creameries and Pasteurisers,1995 March,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1995 April,Domestic,Million Litres,573.6
Intake of Cows Milk by Creameries and Pasteurisers,1995 April,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1995 May,Domestic,Million Litres,716.3
Intake of Cows Milk by Creameries and Pasteurisers,1995 May,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1995 June,Domestic,Million Litres,706.9
Intake of Cows Milk by Creameries and Pasteurisers,1995 June,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1995 July,Domestic,Million Litres,640.8
Intake of Cows Milk by Creameries and Pasteurisers,1995 July,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1995 August,Domestic,Million Litres,577
Intake of Cows Milk by Creameries and Pasteurisers,1995 August,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1995 September,Domestic,Million Litres,447.4
Intake of Cows Milk by Creameries and Pasteurisers,1995 September,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1995 October,Domestic,Million Litres,359.8
Intake of Cows Milk by Creameries and Pasteurisers,1995 October,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1995 November,Domestic,Million Litres,233.2
Intake of Cows Milk by Creameries and Pasteurisers,1995 November,Import,Million Litres,
